state,ebrw,math,total
Alabama,595,571,1166
Alaska,562,544,1106
Arizona,577,572,1149
Arkansas,592,576,1169
California,540,536,1076
Colorado,519,506,1025
Connecticut,535,519,1053
Delaware,505,492,998
District of Columbia,497,480,977
Florida,550,549,1099
Georgia,542,522,1064
Hawaii,480,530,1010
Idaho,508,493,1001
Illinois,513,506,1019
Indiana,542,532,1074
Iowa,634,631,1265
Kansas,633,631,1265
Kentucky,630,618,1248
Louisiana,615,595,1210
Maine,512,501,1013
Maryland,545,535,1080
Massachusetts,562,563,1125
Michigan,511,499,1011
Minnesota,643,655,1298
Mississippi,630,606,1236
Missouri,633,629,1262
Montana,606,592,1198
Nebraska,629,623,1252
Nevada,574,566,1140
New Hampshire,535,528,1063
New Jersey,547,547,1094
New Mexico,552,540,1093
New York,534,534,1068
North Carolina,554,543,1098
North Dakota,640,643,1283
Oklahoma,541,521,1062
Ohio,552,547,1099
Oregon,564,553,1117
Pennsylvania,547,539,1086
Rhode Island,513,505,1018
South Carolina,547,523,1070
South Dakota,622,618,1240
Tennessee,624,607,1231
Texas,520,512,1032
Utah,480,530,1010
Vermont,565,554,1120
Virginia,567,550,1117
Washington,543,538,1081
West Virginia,513,486,999
Wisconsin,641,653,1294
Wyoming,633,625,1257
